method,budget,n,mean_final_average_accuracy,std_final_average_accuracy,mean_average_forgetting,std_average_forgetting,mean_runtime_seconds,std_runtime_seconds
class_balanced_replay,16,10,0.648736548503088,0.03161490925874525,0.02224845375875982,0.026160846330260175,6.804420328140258,1.2886501948661298
class_balanced_replay,64,10,0.6597954638336608,0.020860614147398798,0.012810824352304106,0.010236301867249694,6.958541131019592,0.9268630697744553
class_balanced_replay,256,10,0.6633891647532207,0.02349833362432091,0.031329243020162344,0.03149052786218056,9.281833243370055,1.4603663739371482
hard_example_replay,16,10,0.5245500084058894,0.05550160157920033,0.17723514166873128,0.07368820109717686,8.62217891216278,1.4110512140240075
hard_example_replay,64,10,0.5406379060818822,0.06346516182095975,0.14252411808210047,0.06195036851641992,8.518370389938354,0.9409254261075654
hard_example_replay,256,10,0.6070347063690097,0.038248715661357166,0.08049594471136831,0.04072171564588335,10.901403450965882,1.3643896356375067
no_replay,0,10,0.6425512655564256,0.03021252369379385,0.0159740333595833,0.01716227870400788,7.060536742210388,1.443160192911156
random_replay,16,10,0.6116214221050558,0.04882444644080694,0.05250760493351973,0.04228810716533389,6.632833552360535,0.9500621129659027
random_replay,64,10,0.6305807294431762,0.047792979212548124,0.05061550097626295,0.039195725621920835,7.157619619369507,1.0004879948457128
random_replay,256,10,0.6773988030455864,0.024887093529730352,0.020048096987742146,0.025349780061951193,9.29354956150055,1.3950663719648317
