backbone,model_name,cell_id,order_name,task_sequence,seed,method,budget,status,total_wall_time_seconds,resumed
DistilBERT,distilbert-base-uncased,cell_001_O1_seed113_no_replay_b0,O1,sst2/mrpc/rte/ag_news,113,no_replay,0,PASS,9.662274360656738,False
DistilBERT,distilbert-base-uncased,cell_002_O1_seed113_random_replay_b16,O1,sst2/mrpc/rte/ag_news,113,random_replay,16,PASS,8.390831232070923,False
DistilBERT,distilbert-base-uncased,cell_003_O1_seed113_random_replay_b64,O1,sst2/mrpc/rte/ag_news,113,random_replay,64,PASS,9.102015972137451,False
DistilBERT,distilbert-base-uncased,cell_004_O1_seed113_random_replay_b256,O1,sst2/mrpc/rte/ag_news,113,random_replay,256,PASS,13.263391494750977,False
DistilBERT,distilbert-base-uncased,cell_005_O1_seed113_class_balanced_replay_b16,O1,sst2/mrpc/rte/ag_news,113,class_balanced_replay,16,PASS,7.96663761138916,False
DistilBERT,distilbert-base-uncased,cell_006_O1_seed113_class_balanced_replay_b64,O1,sst2/mrpc/rte/ag_news,113,class_balanced_replay,64,PASS,8.437570571899414,False
DistilBERT,distilbert-base-uncased,cell_007_O1_seed113_class_balanced_replay_b256,O1,sst2/mrpc/rte/ag_news,113,class_balanced_replay,256,PASS,13.108794212341309,False
DistilBERT,distilbert-base-uncased,cell_008_O1_seed113_hard_example_replay_b16,O1,sst2/mrpc/rte/ag_news,113,hard_example_replay,16,PASS,9.458919525146484,False
DistilBERT,distilbert-base-uncased,cell_009_O1_seed113_hard_example_replay_b64,O1,sst2/mrpc/rte/ag_news,113,hard_example_replay,64,PASS,9.91556191444397,False
DistilBERT,distilbert-base-uncased,cell_010_O1_seed113_hard_example_replay_b256,O1,sst2/mrpc/rte/ag_news,113,hard_example_replay,256,PASS,14.744460105895996,False
DistilBERT,distilbert-base-uncased,cell_011_O1_seed227_no_replay_b0,O1,sst2/mrpc/rte/ag_news,227,no_replay,0,PASS,7.787081480026245,False
DistilBERT,distilbert-base-uncased,cell_012_O1_seed227_random_replay_b16,O1,sst2/mrpc/rte/ag_news,227,random_replay,16,PASS,8.04114317893982,False
DistilBERT,distilbert-base-uncased,cell_013_O1_seed227_random_replay_b64,O1,sst2/mrpc/rte/ag_news,227,random_replay,64,PASS,8.513626337051392,False
